Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Collection,Status
datejust-1,Datejust - 1,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-1,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2360.jpg,Datejust - 1 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 1 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 1 - Image 3,,
datejust-2,Datejust - 2,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-2,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2368.jpg,Datejust - 2 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 2 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 2 - Image 3,,
datejust-3,Datejust - 3,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-3,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2369.jpg,Datejust - 3 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 3 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 3 - Image 3,,
datejust-4,Datejust - 4,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-4,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2370.jpg,Datejust - 4 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 4 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 4 - Image 3,,
datejust-5,Datejust - 5,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-5,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_3758.jpg,Datejust - 5 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 5 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 5 - Image 3,,
datejust-6,Datejust - 6,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-6,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_3759.jpg,Datejust - 6 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 6 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 6 - Image 3,,
datejust-7,Datejust - 7,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-7,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2359.jpg,Datejust - 7 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 7 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 7 - Image 3,,
